Date,Adj Close,Open,High,Low,Close,Volume,neg_sentiment_cnt,neu_sentiment_cnt,pos_sentiment_cnt,mean_neg_sentiment_prob,mean_neu_sentiment_prob,mean_pos_sentiment_prob
2023-01-25,193.135,189.13,193.7,185.8,193.23,44953700,0.0,1.0,1.0,0.0002027143054874614,0.4920399444526993,0.5077573442831635
2023-01-26,197.923,197.01,201.66,192.78,198.02,48953500,1.0,0.0,0.0,0.9968405961990356,0.002395446877926588,0.000763969961553812
2023-01-30,191.526,199.5,201.4,191.5,191.62,48861100,1.0,1.0,2.0,0.24941671802116616,0.25064613554422976,0.49993717833422124
2023-01-31,195.274,191.7,196.87,189.5,195.37,49801700,0.0,0.0,3.0,0.00021134672473029545,0.00021467835661799958,0.9995740254720052
2023-02-01,209.327,196.91,211.92,196.11,209.43,66047700,1.0,2.0,0.0,0.3187904453880037,0.6762643319865068,0.004945206477714237
2023-02-02,216.984,210.0,219.49,207.0,217.09,56427600,1.0,2.0,2.0,0.20019795538391918,0.39232511724112556,0.40747692752629516
2023-02-03,210.897,210.0,217.45,207.89,211.0,42936600,1.0,1.0,0.0,0.4957007866469212,0.5004866942181252,0.003812522510997951
2023-02-06,210.787,208.06,215.7,207.86,210.89,45219700,0.0,1.0,0.0,8.129992784233764e-05,0.9998718500137329,4.684347732109018e-05
2023-02-07,221.621,213.82,222.59,211.5,221.73,66415000,1.0,1.0,1.0,0.39919013827845146,0.26670231025006313,0.3341075258795172
2023-02-08,221.941,223.87,228.78,220.08,222.05,55965100,0.0,0.0,1.0,0.00023727973166387528,0.0001299605646636337,0.999632716178894
2023-02-09,223.26,226.06,230.2,221.2,223.37,52387600,0.0,2.0,1.0,0.0026104505620120713,0.6597579691636687,0.337631617168275
2023-02-10,212.546,216.9,220.78,208.11,212.65,55073700,1.0,1.0,2.0,0.2484821320467745,0.2512596496271726,0.500258211606706
2023-02-13,217.773,215.38,220.48,209.62,217.88,47491900,0.0,3.0,0.0,0.0033228093258609683,0.9890886346499125,0.007588596888429795
2023-02-14,229.597,215.78,230.49,213.66,229.71,67547400,0.0,2.0,2.0,0.00020265328930690885,0.49893937157867185,0.5008579597788412
2023-02-15,227.528,225.49,228.55,221.06,227.64,42057500,3.0,2.0,0.0,0.5987282481248257,0.4005934042157605,0.0006783300472307019
2023-02-16,219.912,221.33,225.5,219.27,220.02,41202600,1.0,2.0,2.0,0.18835458671383093,0.39780250685289503,0.4138428893871605
2023-02-17,213.775,216.31,217.4,209.75,213.88,46588800,1.0,1.0,2.0,0.24695444904864416,0.29746196571795736,0.4555836080107838
2023-02-21,206.449,210.0,214.94,206.18,206.55,41001500,0.0,0.0,2.0,0.00039542400190839544,0.00034630386653589085,0.9992583096027374
2023-02-22,207.438,207.07,211.04,204.21,207.54,51318400,3.0,0.0,5.0,0.37428196626206045,0.0010449153751324047,0.6246731511928374
2023-02-23,236.524,234.4,238.88,230.25,236.64,111799500,0.0,4.0,4.0,0.026613044758505566,0.4743048997943333,0.4990820683524362
2023-02-24,232.746,232.25,234.74,229.47,232.86,58971600,0.0,1.0,1.0,0.00016478321413160302,0.5004692021757364,0.49936599401189596
2023-02-27,234.895,236.7,238.8,234.54,235.01,45299400,0.0,1.0,3.0,0.0031022790462884586,0.29120552748463524,0.7056921990588307
2023-02-28,232.046,233.72,238.25,232.06,232.16,45596300,2.0,2.0,0.0,0.46333246450376464,0.5335858478210866,0.003081701241171686
2023-03-01,226.869,231.92,232.56,225.08,226.98,46002600,2.0,0.0,3.0,0.37276084409386384,0.039065008831676094,0.5881741294637323
2023-03-02,233.026,224.88,233.8,224.32,233.14,38941500,1.0,2.0,2.0,0.19410528068983696,0.39796938582439906,0.40792533533240205
2023-03-03,238.783,233.2,239.0,231.3,238.9,41239300,0.0,1.0,0.0,0.0001492106675868854,0.9936152696609497,0.006235548760741949
