Date,Adj Close,Open,High,Low,Close,Volume
2022-09-26,149.493,149.66,153.77,149.64,150.77,93339400
2022-09-27,150.474,152.74,154.72,149.95,151.76,84442700
2022-09-28,148.571,147.64,150.64,144.84,149.84,146691400
2022-09-29,141.273,146.1,146.72,140.68,142.48,128138200
2022-09-30,137.029,141.28,143.1,138.0,138.2,124925300
2022-10-03,141.243,138.21,143.07,137.69,142.45,114311700
2022-10-04,144.862,145.03,146.22,144.26,146.1,87830100
2022-10-05,145.16,144.07,147.38,143.01,146.4,79471000
2022-10-06,144.198,145.81,147.54,145.22,145.43,68402200
2022-10-07,138.903,142.54,143.1,139.45,140.09,85925600
2022-10-10,139.231,140.42,141.89,138.57,140.42,74899000
2022-10-11,137.803,139.9,141.35,138.22,138.98,77033700
2022-10-12,137.168,139.13,140.36,138.16,138.34,70433700
2022-10-13,141.779,134.99,143.59,134.37,142.99,113224000
2022-10-14,137.208,144.31,144.52,138.19,138.38,88598000
2022-10-17,141.204,141.07,142.9,140.27,142.41,85250900
2022-10-18,142.532,145.49,146.7,140.61,143.75,99136600
2022-10-19,142.641,141.69,144.95,141.5,143.86,61758300
2022-10-20,142.175,143.02,145.89,142.65,143.39,64522000
2022-10-21,146.023,142.87,147.85,142.65,147.27,86548600
2022-10-24,148.184,147.19,150.23,146.0,149.45,75981900
2022-10-25,151.05,150.09,152.49,149.36,152.34,74732300
2022-10-26,148.085,150.96,151.99,148.04,149.35,88194300
2022-10-27,143.573,148.07,149.05,144.13,144.8,109180200
2022-10-28,154.421,148.2,157.5,147.82,155.74,164762400
2022-10-31,152.041,153.16,154.24,151.92,153.34,97943200
2022-11-01,149.374,155.08,155.45,149.13,150.65,80379300
2022-11-02,143.802,148.95,152.17,145.0,145.03,93604600
2022-11-03,137.704,142.06,142.8,138.75,138.88,97918500
2022-11-04,137.435,142.09,142.67,134.38,138.38,140814800
2022-11-07,137.972,137.11,139.15,135.67,138.92,83374600
2022-11-08,138.548,140.41,141.43,137.49,139.5,89908500
2022-11-09,133.949,138.5,138.55,134.59,134.87,74917800
