title,description,published date,url,publisher
What iPod inventor Tony Fadell says he learned from Steve Jobs - Yahoo Finance,What iPod inventor Tony Fadell says he learned from Steve Jobs  Yahoo Finance,2022-01-06,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aGF0LWktcG9kLWludmVudG9yLXRvbnktZmFkZWxsLXNheXMtaGUtbGVhcm5lZC1mcm9tLXN0ZXZlLWpvYnMtMTQ0NDQ4NzQ1Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
People need to spend 'more time fixing the climate' than 'getting into the metaverse': iPod inventor - Yahoo Singapore News,People need to spend 'more time fixing the climate' than 'getting into the metaverse': iPod inventor  Yahoo Singapore News,2022-01-07,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vc2cubmV3cy55YWhvby5jb20vaS1wb2QtaW52ZW50b3ItdG9ueS1mYWRlbGwtb24tbWV0YXZlcnNlLTE0NDQ0MjkwMi5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sg.news.yahoo.com', 'title': 'Yahoo Singapore News'}"
Apple (AAPL) Rumored to Launch New iPhone SE in Upcoming Event - Yahoo Finance,Apple (AAPL) Rumored to Launch New iPhone SE in Upcoming Event  Yahoo Finance,2022-01-10,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1hYXBsLXJ1bW9yZWQtbGF1bmNoLWlwaG9uZS0xNTIxMDMzNTAuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
Finding the next Apple (AAPL): unicorns that can go stellar - Capital.com,Finding the next Apple (AAPL): unicorns that can go stellar  Capital.com,2022-01-11,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vY2FwaXRhbC5jb20vZmluZGluZy10aGUtbmV4dC1hcHBsZS1hYXBsLXVuaWNvcm5zLXRoYXQtY2FuLWdvLXN0ZWxsYXLSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://capital.com', 'title': 'Capital.com'}"
US stock market news [Video] - FXStreet,US stock market news [Video]  FXStreet,2022-01-10,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9uZXdzL3VzLXN0b2NrLW1hcmtldC1uZXdzLXZpZGVvLTIwMjIwMTEwMjI0MdIBSWh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9hbXAvbmV3cy91cy1zdG9jay1tYXJrZXQtbmV3cy12aWRlby0yMDIyMDExMDIyNDE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fxstreet.com', 'title': 'FXStreet'}"
"Apple Rivals Microsoft, Blackberry, Nokia Laughed At iPhone, Shrugged It Off And Flung It To The Ground A - Benzinga","Apple Rivals Microsoft, Blackberry, Nokia Laughed At iPhone, Shrugged It Off And Flung It To The Ground A  Benzinga",2022-01-10,https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5iZW56aW5nYS5jb20vbmV3cy8yMi8wMS8yNDk2MzQxMi9hcHBsZS1yaXZhbHMtbWljcm9zb2Z0LWJsYWNrYmVycnktbm9raWEtbGF1Z2hlZC1hdC1pcGhvbmUtc2hydWdnZWQtaXQtb2ZmLWFuZC1mbHVuZy1pdC10by10aGUtZ3JvdW5k0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzI0OTYzNDEy?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}"
Why is everyone playing Wordle? The daily word puzzle is quickly going viral - MarketWatch,Why is everyone playing Wordle? The daily word puzzle is quickly going viral  MarketWatch,2022-01-11,https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3Rvcnkvd2hhdHMtYmVoaW5kLXRoZS1zdWNjZXNzLW9mLXdvcmRsZS1zb21lLXNheS1pdHMtdGhlLWZyZWUtZGFpbHktd29yZC1wdXp6bGVzLWFudGktZ2FtZS1hcHByb2FjaC0xMTY0MTkyOTY3NdIBkAFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L3doYXRzLWJlaGluZC10aGUtc3VjY2Vzcy1vZi13b3JkbGUtc29tZS1zYXktaXRzLXRoZS1mcmVlLWRhaWx5LXdvcmQtcHV6emxlcy1hbnRpLWdhbWUtYXBwcm9hY2gtMTE2NDE5Mjk2NzU?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.marketwatch.com', 'title': 'MarketWatch'}"
Apple is still bigger than all these companies combined - Yahoo Finance,Apple is still bigger than all these companies combined  Yahoo Finance,2022-01-10,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pcy1zdGlsbC1iaWdnZXItdGhhbi1hbGwtdGhlc2UtY29tcGFuaWVzLWNvbWJpbmVkLTIyMDQzNTkwMC5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
Apple's Tim Cook made $98M in 2021 - how that compares to other tech CEOs - Yahoo Finance,Apple's Tim Cook made $98M in 2021 - how that compares to other tech CEOs  Yahoo Finance,2022-01-11,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS10aW0tY29vay1jb21wZW5zYXRpb24tb3RoZXItdGVjaC1jZW9zLTE2NTUyMTExMi5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
Finding the next Apple (AAPL): unicorns that can go stellar - Capital.com,Finding the next Apple (AAPL): unicorns that can go stellar  Capital.com,2022-01-11,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vY2FwaXRhbC5jb20vZmluZGluZy10aGUtbmV4dC1hcHBsZS1hYXBsLXVuaWNvcm5zLXRoYXQtY2FuLWdvLXN0ZWxsYXLSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://capital.com', 'title': 'Capital.com'}"
